 | 1    | Great Tusk         | 30.13411% | 981696 | 26.095% | 753970 | 25.637% | 
 | 2    | Kingambit          | 25.92856% | 818305 | 21.752% | 545867 | 18.561% | 
 | 3    | Gholdengo          | 17.56198% | 599458 | 15.935% | 454378 | 15.450% | 
 | 4    | Raging Bolt        | 16.30745% | 495139 | 13.162% | 367097 | 12.482% | 
 | 5    | Gliscor            | 14.76129% | 551406 | 14.658% | 466209 | 15.852% | 
 | 6    | Volcarona          | 13.65086% | 449192 | 11.940% | 335659 | 11.413% | 
 | 7    | Dragapult          | 13.38880% | 476107 | 12.656% | 368885 | 12.543% | 
 | 8    | Iron Valiant       | 12.84465% | 434928 | 11.561% | 307515 | 10.456% | 
 | 9    | Roaring Moon       | 12.45666% | 391492 | 10.407% | 284655 |  9.679% | 
 | 10   | Hatterene          | 12.26776% | 406616 | 10.809% | 315324 | 10.722% | 
 | 11   | Slowking-Galar     | 12.06008% | 372408 |  9.899% | 310414 | 10.555% | 
 | 12   | Meowscarada        | 11.11309% | 413619 | 10.995% | 332662 | 11.311% | 
 | 13   | Kyurem             | 11.08564% | 334011 |  8.879% | 258277 |  8.782% | 
 | 14   | Dragonite          | 11.01806% | 384263 | 10.215% | 280080 |  9.523% | 
 | 15   | Archaludon         | 10.74949% | 389219 | 10.346% | 323638 | 11.004% | 
 | 16   | Iron Boulder       | 10.61359% | 358450 |  9.528% | 243068 |  8.265% | 
 | 17   | Gouging Fire       | 10.23702% | 362166 |  9.627% | 266164 |  9.050% | 
 | 18   | Deoxys-Speed       | 10.19167% | 354742 |  9.430% | 302538 | 10.287% | 
 | 19   | Darkrai            |  9.60059% | 323470 |  8.598% | 258121 |  8.777% | 
 | 20   | Corviknight        |  9.53903% | 352613 |  9.373% | 287543 |  9.777% | 
 | 21   | Cinderace          |  9.52224% | 359619 |  9.559% | 276954 |  9.417% | 
 | 22   | Samurott-Hisui     |  8.81673% | 305667 |  8.125% | 267420 |  9.093% | 
 | 23   | Rillaboom          |  8.70064% | 289301 |  7.690% | 231927 |  7.886% | 
 | 24   | Glimmora           |  8.58240% | 312982 |  8.320% | 284206 |  9.664% | 
 | 25   | Landorus-Therian   |  8.38743% | 289952 |  7.708% | 251236 |  8.543% | 
 | 26   | Enamorus           |  8.34488% | 280547 |  7.458% | 210868 |  7.170% | 
 | 27   | Skarmory           |  8.28707% | 267610 |  7.114% | 228876 |  7.782% | 
 | 28   | Ogerpon-Wellspring |  8.19575% | 282705 |  7.515% | 217875 |  7.408% | 
 | 29   | Serperior          |  7.78730% | 339939 |  9.036% | 252010 |  8.569% | 
 | 30   | Clefable           |  7.35051% | 252356 |  6.708% | 202299 |  6.879% | 
 | 31   | Walking Wake       |  7.21945% | 260954 |  6.937% | 206584 |  7.024% | 
 | 32   | Pelipper           |  6.86635% | 248057 |  6.594% | 230079 |  7.823% | 
 | 33   | Torkoal            |  6.78995% | 256932 |  6.830% | 235902 |  8.021% | 
 | 34   | Excadrill          |  6.74036% | 246791 |  6.560% | 192886 |  6.559% | 
 | 35   | Primarina          |  6.67330% | 224019 |  5.955% | 184424 |  6.271% | 
 | 36   | Ting-Lu            |  6.65575% | 209667 |  5.573% | 180645 |  6.142% | 
 | 37   | Clodsire           |  6.41262% | 242901 |  6.457% | 195673 |  6.653% | 
 | 38   | Iron Treads        |  6.21495% | 185654 |  4.935% | 158241 |  5.381% | 
 | 39   | Skeledirge         |  5.97093% | 227890 |  6.058% | 177775 |  6.045% | 
 | 40   | Zamazenta          |  5.87882% | 178943 |  4.757% | 131480 |  4.471% | 
 | 41   | Heatran            |  5.64338% | 203448 |  5.408% | 169661 |  5.769% | 
 | 42   | Weavile            |  5.57882% | 203479 |  5.409% | 158409 |  5.386% | 
 | 43   | Dondozo            |  5.03592% | 174847 |  4.648% | 131733 |  4.479% | 
 | 44   | Pecharunt          |  4.64303% | 196909 |  5.234% | 154228 |  5.244% | 
 | 45   | Barraskewda        |  4.38004% | 129274 |  3.436% | 101873 |  3.464% | 
 | 46   | Latios             |  3.77007% | 127965 |  3.402% | 100470 |  3.416% | 
 | 47   | Tyranitar          |  3.63704% | 132803 |  3.530% | 115598 |  3.931% | 
 | 48   | Iron Crown         |  3.47287% | 119256 |  3.170% | 91300  |  3.104% | 
 | 49   | Toxapex            |  3.41324% | 160638 |  4.270% | 128900 |  4.383% | 
 | 50   | Ninetales-Alola    |  3.33723% | 132428 |  3.520% | 114460 |  3.892% | 
 | 51   | Rotom-Wash         |  3.32874% | 125369 |  3.333% | 108930 |  3.704% | 
 | 52   | Scizor             |  3.24906% | 127045 |  3.377% | 104156 |  3.542% | 
 | 53   | Keldeo             |  3.21961% | 99558  |  2.646% | 81335  |  2.766% | 
 | 54   | Zapdos             |  3.17391% | 120935 |  3.215% | 97675  |  3.321% | 
 | 55   | Amoonguss          |  2.98616% | 108757 |  2.891% | 87294  |  2.968% | 
 | 56   | Latias             |  2.98554% | 104996 |  2.791% | 75572  |  2.570% | 
 | 57   | Alomomola          |  2.98405% | 98481  |  2.618% | 78655  |  2.674% | 
 | 58   | Garganacl          |  2.85248% | 118253 |  3.143% | 92632  |  3.150% | 
 | 59   | Iron Moth          |  2.74602% | 101583 |  2.700% | 76194  |  2.591% | 
 | 60   | Ribombee           |  2.59251% | 107813 |  2.866% | 98223  |  3.340% | 
 | 61   | Greninja           |  2.47509% | 112572 |  2.992% | 86830  |  2.952% | 
 | 62   | Blaziken           |  2.40042% | 117746 |  3.130% | 87204  |  2.965% | 
 | 63   | Hydrapple          |  2.36586% | 96472  |  2.564% | 72479  |  2.464% | 
 | 64   | Garchomp           |  2.17462% | 108201 |  2.876% | 87168  |  2.964% | 
 | 65   | Kingdra            |  2.09949% | 75857  |  2.016% | 56993  |  1.938% | 
 | 66   | Blissey            |  2.06607% | 78112  |  2.076% | 61468  |  2.090% | 
 | 67   | Ursaluna           |  2.03646% | 72138  |  1.918% | 58521  |  1.990% | 
 | 68   | Ceruledge          |  2.00066% | 95431  |  2.537% | 73509  |  2.499% | 
